,Name,Instrument Type,Currency,Contributor,RIC
57,UK Pound Sterling SONIA ATM Swaption,Curve,C:4,ICAP,GBPSOSWATM=ICAP
58,UK Pound Sterling 1 Year by 1 Year ATM Swaption Skew,Tile,C:4,Tradition,GBPSOSWATM=TRDL
59,UK Pound Sterling IMM FRA OIS Spread,Curve,C:4,Tradition,GBIMFOSP=TRDL
60,UK Pound Sterling 3 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L3Y=
61,UK Pound Sterling 1 Month Forward Starting Overnight Index Swap,Tile,C:4,Fenics Market Data,GBPFWDOIS=FMD
62,UK Pound Sterling IMM Forward-Starting Overnight Index Swap,Curve,C:4,Fenics Market Data,GBPOISIMM=FMD
63,UK Pound Sterling 2 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L2Y=
64,UK Pound Sterling 7 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L7Y=
65,UK Pound Sterling 4 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L4Y=
66,UK Pound Sterling 30 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L30Y=
67,UK Pound Sterling 15 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L15Y=
68,UK Pound Sterling 20 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L20Y=
69,UK Pound Sterling 6 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L6Y=
70,UK Pound Sterling 8 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L8Y=
71,UK Pound Sterling 9 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L9Y=
72,UK Pound Sterling 12 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L12Y=
73,UK Pound Sterling 25 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L25Y=
74,UK Pound Sterling 50 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L50Y=
75,UK Pound Sterling 1 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPAM3L1Y=
76,UK Pound Sterling 40 Year Interest Rate Swap,Quote,C:4,REFINITIV,GBPSB6L40Y=
77,UK Pound Sterling 3 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L3Y=PMID
