,Name,Instrument Type,Currency,Contributor,RIC
1398,UK Pound Sterling 3 Month Basis Swap,Quote,C:4,ICAP,GBPBRSO3M=ICAP
1399,UK Pound Sterling 6 Month Basis Swap,Quote,C:4,ICAP,GBPBRSO6M=ICAP
1400,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO12Y=ICAP
1401,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO15Y=ICAP
1402,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO20Y=ICAP
1403,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO25Y=ICAP
1404,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO30Y=ICAP
1405,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L1Y=PMID
1406,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L2Y=PMID
1407,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L3Y=PMID
1408,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L5Y=PMID
1409,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L4Y=PMID
1410,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L6Y=PMID
1411,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L7Y=PMID
1412,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L8Y=PMID
1413,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L9Y=PMID
1414,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L10Y=PMID
1415,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L15Y=PMID
1416,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L20Y=PMID
1417,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L1Y=TRDL
1418,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L30Y=PMID
1419,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L1Y=TRDL
1420,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L2Y=TRDL
1421,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L3Y=TRDL
1422,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L4Y=TRDL
1423,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L3Y=TRDL
1424,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L5Y=TRDL
1425,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L7Y=TRDL
1426,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L4Y=R
1427,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L3Y=R
1428,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L10Y=TRDL
1429,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L12Y=PMID
1430,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L15Y=TRDL
1431,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L20Y=TRDL
1432,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L25Y=TRDL
1433,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L30Y=TRDL
1434,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L2Y=PMID
1435,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L1Y=TDS
1436,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L2Y=TRDL
1437,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L1Y=TDS
1438,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L2Y=TDS
1439,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L1Y=PMID
1440,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L2Y=TDS
1441,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L3Y=TDS
1442,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO3L3Y=PMID
1443,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L3Y=TDS
1444,UK Pound Sterling 3 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L3Y=PMID
1445,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L4Y=TRDL
1446,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L4Y=PMID
1447,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,ICAP,GBPBRSO4Y=ICAP
1448,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L4Y=TDS
1449,UK Pound Sterling 4 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L4Y=TDS
1450,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L5Y=TRDL
1451,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L5Y=TDS
1452,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L5Y=PMID
1453,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L5Y=TDS
1454,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L6Y=TDS
1455,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L6Y=TRDL
1456,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L6Y=PMID
1457,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L6Y=TRDL
1458,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L7Y=PMID
1459,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L7Y=TRDL
1460,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L7Y=TDS
1461,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L7Y=TDS
1462,UK Pound Sterling 1 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L1Y=R
1463,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L8Y=TRDL
1464,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L8Y=TRDL
1465,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L8Y=TDS
1466,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L8Y=PMID
1467,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L9Y=TDS
1468,UK Pound Sterling 2 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L2Y=R
1469,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L9Y=PMID
1470,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L9Y=TRDL
1471,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L9Y=TRDL
1472,UK Pound Sterling 5 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L5Y=R
1473,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L10Y=PMID
1474,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L10Y=TDS
1475,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L10Y=TDS
1476,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L10Y=TRDL
1477,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L6Y=R
1478,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L12Y=TRDL
1479,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L12Y=PMID
1480,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L12Y=TDS
1481,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L15Y=TDS
1482,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L15Y=TDS
1483,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L15Y=PMID
1484,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L15Y=TRDL
1485,UK Pound Sterling 10 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L10Y=R
1486,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L15Y=R
1487,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L20Y=TDS
1488,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L20Y=PMID
1489,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L25Y=TDS
1490,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L20Y=TDS
1491,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,PMETA ICAP,GBP3L6L25Y=PMID
1492,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L20Y=TRDL
1493,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L25Y=TRDL
1494,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L25Y=TDS
1495,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L25Y=PMID
1496,UK Pound Sterling 40 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L40Y=TDS
1497,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L30Y=PMID
1498,UK Pound Sterling 40 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L40Y=TDS
1499,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L50Y=TRDL
1500,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L30Y=TRDL
1501,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L30Y=TDS
1502,UK Pound Sterling 40 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L40Y=TRDL
1503,UK Pound Sterling 60 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L60Y=TRDL
1504,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,Tradition,GBPSO3L50Y=TRDL
1505,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L6L50Y=TDS
1506,UK Pound Sterling 40 Year Basis Swap,Quote,C:4,PMETA ICAP,GBPSO1L40Y=PMID
1507,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L50Y=TDS
1508,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP3L12L30Y=TDS
1509,UK Pound Sterling 40 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L40Y=TRDL
1510,UK Pound Sterling 50 Year Basis Swap,Quote,C:4,TRADITION DATA,GBP1L3L50Y=TDS
1511,UK Pound Sterling 60 Year Basis Swap,Quote,C:4,Tradition,GBP3L6L60Y=TRDL
1512,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L7Y=R
1513,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L8Y=R
1514,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L9Y=R
1515,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L20Y=R
1516,UK Pound Sterling 6 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L6Y=R
1517,UK Pound Sterling 8 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L8Y=R
1518,UK Pound Sterling 7 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L7Y=R
1519,UK Pound Sterling 9 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L9Y=R
1520,UK Pound Sterling 12 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L12Y=R
1521,UK Pound Sterling 15 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L15Y=R
1522,UK Pound Sterling 20 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L6L20Y=R
1523,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L30Y=R
1524,UK Pound Sterling 30 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L3L30Y=R
1525,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP1L3L25Y=R
1526,UK Pound Sterling 25 Year Basis Swap,Quote,C:4,REFINITIV CALCULATED,GBP3L6L25Y=R
1527,UK Pound Sterling 5 Year by 5 Year Forward Inflation Linked Swap,Quote,C:4,REFINITIV CALCULATED,GBIL5YF5Y=R
1528,UK Pound Sterling 5 Year by 10 Year Forward Inflation Linked Swap,Quote,C:4,REFINITIV CALCULATED,GBIL5YF10Y=R
1529,UK Pound Sterling 1 Year by 1 Year Forward Inflation Linked Swap,Quote,C:4,REFINITIV CALCULATED,GBIL1YF1Y=R
1530,UK Pound Sterling 2 Year by 2 Year Forward Inflation Linked Swap,Quote,C:4,REFINITIV CALCULATED,GBIL2YF2Y=R
1531,UK Pound Sterling 2 Year by 3 Year Forward Inflation Linked Swap,Quote,C:4,REFINITIV CALCULATED,GBIL2YF3Y=R
1532,UK Pound Sterling 5 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ5Y=
1533,UK Pound Sterling 1 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ1Y=
1534,UK Pound Sterling 10 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ10Y=
1535,UK Pound Sterling 2 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ2Y=
1536,UK Pound Sterling 15 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ15Y=
1537,UK Pound Sterling 7 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ7Y=
1538,UK Pound Sterling 3 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ3Y=
1539,UK Pound Sterling 30 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ30Y=
1540,UK Pound Sterling 20 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ20Y=
1541,UK Pound Sterling 4 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ4Y=
1542,UK Pound Sterling 6 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ6Y=
1543,UK Pound Sterling 12 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ12Y=
1544,UK Pound Sterling 25 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ25Y=
1545,UK Pound Sterling 9 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ9Y=
1546,UK Pound Sterling 8 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ8Y=
1547,UK Pound Sterling 40 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ40Y=
1548,UK Pound Sterling 50 Year Inflation Linked Swap,Quote,C:4,REFINITIV,GBRPIZ50Y=
1549,UK Pound Sterling 5 Year by 30 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L5X30=RR
1550,UK Pound Sterling 2 Year by 10 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L2X10=RR
1551,UK Pound Sterling 2 Year by 5 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L2X5=RR
1552,UK Pound Sterling 5 Year by 10 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L5X10=RR
1553,UK Pound Sterling 10 Year by 30 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L10X30=RR
1554,UK Pound Sterling 2 Year by 30 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L2X30=RR
1555,UK Pound Sterling 3 Year by 10 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L3X10=RR
1556,UK Pound Sterling 3 Year by 5 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L3X5=RR
1557,UK Pound Sterling 2 Year by 3 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L2X3=RR
1558,UK Pound Sterling 3 Year by 30 Year Interest Rate Swap Spread,Quote,C:4,REFINITIV,GBS6L3X30=RR
1559,UK Pound Sterling Forward LIBOR-OIS Spread,Quote,C:4,REFINITIV CALCULATED,GBPL-O3MF=R
1560,UK Pound Sterling 0 Month by 3 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X3=R
1561,UK Pound Sterling 3 Month by 6 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X6=R
1562,UK Pound Sterling 1 Month by 4 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X4=R
1563,UK Pound Sterling 6 Month by 9 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X9=R
1564,UK Pound Sterling 9 Month by 1 Year Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS9X12=R
1565,UK Pound Sterling 4 Month by 7 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS4X7=R
1566,UK Pound Sterling 5 Month by 8 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS5X8=R
1567,UK Pound Sterling 2 Month by 5 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS2X5=R
1568,UK Pound Sterling 0 Month by 16 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X16=R
1569,UK Pound Sterling 0 Month by 7 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X7=R
1570,UK Pound Sterling 0 Month by 10 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X10=R
1571,UK Pound Sterling 0 Month by 4 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X4=R
1572,UK Pound Sterling 0 Month by 13 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X13=R
1573,UK Pound Sterling 0 Month by 1 Year Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X12=R
1574,UK Pound Sterling 0 Month by 9 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X9=R
1575,UK Pound Sterling 0 Month by 5 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X5=R
1576,UK Pound Sterling 0 Month by 6 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X6=R
1577,UK Pound Sterling 0 Month by 1 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X1=R
1578,UK Pound Sterling 0 Month by 11 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X11=R
1579,UK Pound Sterling 0 Month by 8 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X8=R
1580,UK Pound Sterling 0 Month by 2 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X2=R
1581,UK Pound Sterling 0 Month by 14 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X14=R
1582,UK Pound Sterling 0 Month by 17 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X17=R
1583,UK Pound Sterling 0 Month by 15 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X15=R
1584,UK Pound Sterling 1 Year by 15 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS12X15=R
1585,UK Pound Sterling 1 Month by 6 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X6=R
1586,UK Pound Sterling 3 Month by 9 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X9=R
1587,UK Pound Sterling 3 Month by 1 Year Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X12=R
1588,UK Pound Sterling 1 Month by 7 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X7=R
1589,UK Pound Sterling 1 Month by 3 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X3=R
1590,UK Pound Sterling 1 Month by 2 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X2=R
1591,UK Pound Sterling 1 Month by 5 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X5=R
1592,UK Pound Sterling 6 Month by 1 Year Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X12=R
1593,UK Pound Sterling 3 Month by 18 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X18=R
1594,UK Pound Sterling 0 Month by 2 Year Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X24=R
1595,UK Pound Sterling 0 Month by 23 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X23=R
1596,UK Pound Sterling 0 Month by 22 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X22=R
1597,UK Pound Sterling 0 Month by 20 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X20=R
1598,UK Pound Sterling 3 Month by 21 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X21=R
1599,UK Pound Sterling 0 Month by 19 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X19=R
1600,UK Pound Sterling 0 Month by 21 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X21=R
1601,UK Pound Sterling 3 Month by 15 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X15=R
1602,UK Pound Sterling 0 Month by 18 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS0X18=R
1603,UK Pound Sterling 6 Month by 7 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X7=R
1604,UK Pound Sterling 3 Month by 7 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X7=R
1605,UK Pound Sterling 3 Month by 5 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X5=R
1606,UK Pound Sterling 7 Month by 10 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS7X10=R
1607,UK Pound Sterling 6 Month by 14 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X14=R
1608,UK Pound Sterling 8 Month by 11 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS8X11=R
1609,UK Pound Sterling 6 Month by 16 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X16=R
1610,UK Pound Sterling 3 Month by 13 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X13=R
1611,UK Pound Sterling 1 Month by 11 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X11=R
1612,UK Pound Sterling 1 Month by 9 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X9=R
1613,UK Pound Sterling 6 Month by 13 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X13=R
1614,UK Pound Sterling 6 Month by 11 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X11=R
1615,UK Pound Sterling 1 Month by 10 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X10=R
1616,UK Pound Sterling 3 Month by 4 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X4=R
1617,UK Pound Sterling 6 Month by 10 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X10=R
1618,UK Pound Sterling 3 Month by 8 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X8=R
1619,UK Pound Sterling 6 Month by 8 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X8=R
1620,UK Pound Sterling 1 Month by 8 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X8=R
1621,UK Pound Sterling 6 Month by 15 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X15=R
1622,UK Pound Sterling 3 Month by 10 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X10=R
1623,UK Pound Sterling 3 Month by 11 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS3X11=R
1624,UK Pound Sterling 6 Month by 22 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X22=R
1625,UK Pound Sterling 1 Month by 16 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS1X16=R
1626,UK Pound Sterling 6 Month by 18 Month Forward Starting Overnight Index Swap,Quote,C:4,REFINITIV CALCULATED,GBPOIS6X18=R
