origin_trade_timestamp,series_id,product_code,main_isin,RIC,Company Name
2016-07-12 13:51:43.900000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-14 10:07:50.390000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-15 14:29:38.730000000,306833601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-20 08:25:42.950000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-21 10:05:01.440000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-22 07:28:54.500000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-25 15:35:17.030000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-07-27 12:32:58.670000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-02 13:50:39.900000000,365492302,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-02 13:51:44.710000000,365492302,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-05 10:24:22.790000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-05 11:13:51.860000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-05 14:28:24.490000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-08 12:46:16.490000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-08 13:59:58.360000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-10 07:45:10.150000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-10 09:18:26.210000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-17 09:19:35.140000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-19 09:10:12.080000000,310881801,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-19 09:21:40.610000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-23 07:28:12.050000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-31 07:38:16.310000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-31 07:38:20.810000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-08-31 08:03:19.050000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-01 11:26:12.740000000,368701802,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-01 11:26:37.640000000,368701802,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-01 11:27:03.350000000,368701802,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-01 11:27:48.840000000,368701802,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-01 11:28:02.070000000,368701802,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 07:30:44.310000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 07:33:36.470000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 07:33:37.570000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 07:33:37.880000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 09:32:05.830000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-07 09:32:42.250000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-09 13:23:28.060000000,369680902,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-12 10:31:12.160000000,369792002,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-12 10:33:09.720000000,369792002,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-12 11:28:23.640000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-12 11:28:25.030000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-13 14:21:50.580000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-13 14:23:21.630000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-14 07:07:17.840000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-14 07:36:28.160000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-14 15:15:32.770000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-14 15:15:52.500000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-15 10:05:06.240000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-15 10:07:47.460000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-15 10:42:12.720000000,314478201,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-16 10:54:35.130000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-16 10:54:40.170000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-28 07:46:37.940000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-28 08:38:38.620000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-29 07:10:34.480000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-30 08:47:11.420000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-30 09:42:13.760000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-09-30 09:43:12.260000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-04 07:54:45.470000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-04 07:54:46.200000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-04 10:27:37.110000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-05 12:08:58.920000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-12 15:45:57.900000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-18 15:22:48.480000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-20 14:01:40.210000000,318531301,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-10-24 14:40:23.480000000,376435002,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-02 14:00:51.250000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-08 15:59:57.400000000,341619401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-09 08:11:35.260000000,323058401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-10 08:03:55.800000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-11 08:40:34.080000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-11 10:29:09.430000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-11 13:33:31.600000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-11 13:33:31.600000000,323058401,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-14 16:51:08.510000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-16 08:07:10.540000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-16 08:07:11.760000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-16 08:15:21.110000000,244273601,ALVG,DE0008404005,ALVG.DE,Allianz SE
2016-11-16 16:06:20.430000000,281605501,ALVG,DE0008404005,ALVG.DE,Allianz SE
